Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10,Q10_2_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q20_2_TEXT,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q21_21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q22_15,Q22_16,Q22_17,Q22_18,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_14,Q23_15,Q23_16,Q23_17,Q23_18,Q24_1,Q24_2,Q24_3,Q25_1,Q25_2,Q25_3,Q26_1,Q26_2,Q26_3,Q27_1,Q28_1,Q29,Q29_7_TEXT,Q30,Q30_7_TEXT
What is your current age in years?,Gender Please select the best description of your gender,What is the highest level of education you have completed?,What is your race?,Do you consider yourself to be Hispanic?,Do you consider yourself to be:,What is your Current Marital Status?,"Please use this response scale in answering these questions about your marriage: - Overall, I’m satisfied with my spouse/partner.",Please use this response scale in answering these questions about your marriage: - We are having overly burdensome marital problems.,"Please use this response scale in answering these questions about your marriage: - Overall, I am satisfied with my health.",Please use this response scale in answering these questions about your marriage: - We are very active in our religion.,Please use this response scale in answering these questions about your marriage: - My spouse and I are equally as healthy as one another,Please use this response scale in answering these questions about your marriage: - I have a good exercise routine.,Please use this response scale in answering these questions about your marriage: - My spouse/partner and I tend to be very critical of one another,Please use this response scale in answering these questions about your marriage: - My spouse/partner and I see way too much defect in one another,Please use this response scale in answering these questions about your marriage: - My spouse/partner and I are overly defensive in our relationship together,Please use this response scale in answering these questions about your marriage: - My spouse/partner and I withdraw from each other at times,Please use this response scale in answering these questions about your marriage: - My spouse/partner and I support one another in our health practices,Do You Have children? - Selected Choice,"Do You Have children? - Yes, please indicate how many children you have - Text",It seems like recently I've been:,Approximately how many pounds do you currently weigh?,How confident are you that your estimated weight in the previous question is within 5lbs of your actual weight?,When was the last time you checked your weight?,How tall are you in inches? (reminder: 60 inches= 5 feet; 72 inches=6 feet),Please select all of the following that you have experienced in the previous 5 years:,Please select all of the following weight management behaviors you have used over the last 16 months:,"Since age 18, what is the MOST you've ever weighed?","Since age 18, what is the LEAST you've ever weighed?",Have you found a weight management strategy which works well for you? - Selected Choice,"Have you found a weight management strategy which works well for you? - Yes, If Yes add box please briefly describe what is working for you - Text","Please use this response scale in answering these 21 questions about yourself - How often do you have difficulty sustaining your attention while doing something for work, school, a hobby, or fun activity (e.g., remaining focused during lectures, lengthy reading or conversations)?","Please use this response scale in answering these 21 questions about yourself - How often are you easily distracted by external stimuli, like something in your environment or unrelated thoughts?","Please use this response scale in answering these 21 questions about yourself - How often do you avoid, dislike, or are reluctant to engage in tasks that require sustained mental effort or thought?","Please use this response scale in answering these 21 questions about yourself - How often do you have trouble listening to someone, even when they are speaking directly to you, like your mind is somewhere else?","Please use this response scale in answering these 21 questions about yourself - How often do you have difficulty in organizing an activity or task needing to get done (e.g., poor time management, fails to meet deadlines, difficulty managing sequential tasks)?","Please use this response scale in answering these 21 questions about yourself - How often do you fail to give close attention to details, or make careless mistakes in things such as schoolwork, at work, or during other activities?","Please use this response scale in answering these 21 questions about yourself - How often do you forget to do something you do all the time, such as missing an appointment or paying a bill?","Please use this response scale in answering these 21 questions about yourself - How often do you lose, misplace or damage something that's necessary in order to get things done (e.g., your phone, eyeglasses, paperwork, wallet, keys, etc.)?","Please use this response scale in answering these 21 questions about yourself - How often do you have trouble following through on instructions, or failing to finish schoolwork, chores, or duties in the workplace (e.g., you start a task but quickly lose focus and are easily sidetracked)?",Please use this response scale in answering these 21 questions about yourself - How often are you unable to play or engage in leisurely activities quietly?,"Please use this response scale in answering these 21 questions about yourself - How often do you have difficulty waiting your turn, such as while waiting in line?","Please use this response scale in answering these 21 questions about yourself - How often do you feel like you're ""on the go,"" acting as if you're ""driven by a motor"" (e.g., you're unable to be or uncomfortable being still for an extended period of time, such as in a restaurant or a meeting)?","Please use this response scale in answering these 21 questions about yourself - How often do you leave your seat in situations when remaining seated is expected (e.g., leaving your place in the office or workplace)?","Please use this response scale in answering these 21 questions about yourself - How often do you blurt out an answer before a question has been completed (e.g., completing another person's sentence or can't wait your turn in a conversation)?",Please use this response scale in answering these 21 questions about yourself - How often do you feel restless -- like you want to get out and do something?,"Please use this response scale in answering these 21 questions about yourself - How often do you fidget with or tap your hands or feet, or squirm in your seat?",Please use this response scale in answering these 21 questions about yourself - How often do find yourself talking excessively?,"Please use this response scale in answering these 21 questions about yourself - How often do you interrupt or intrude on others, such as butting into their conversation or taking over what others are doing?",Please use this response scale in answering these 21 questions about yourself - Were several of the symptoms present prior to age 12?,"Please use this response scale in answering these 21 questions about yourself - Do the symptoms appear in at least two or more settings (e.g., at home and school)?","Please use this response scale in answering these 21 questions about yourself - How often do the above symptoms significantly interfere with your  social, academic, or work life?","In the previous week, how many days did you participate in the following: Please use this response scale - Read food labels","In the previous week, how many days did you participate in the following: Please use this response scale - Tracked calories","In the previous week, how many days did you participate in the following: Please use this response scale - Kept a calorie goal","In the previous week, how many days did you participate in the following: Please use this response scale - Got adequate sleep","In the previous week, how many days did you participate in the following: Please use this response scale - Did moderate exercise for at least 30 minutes","In the previous week, how many days did you participate in the following: Please use this response scale - Took at least 10,000 steps","In the previous week, how many days did you participate in the following: Please use this response scale - Found small opportunities to be physically active (e.g. took the stairs)","In the previous week, how many days did you participate in the following: Please use this response scale - Modified meals in a healthy way (e.g. took smaller portion sizes)","In the previous week, how many days did you participate in the following: Please use this response scale - Drank 4+ cups of water","In the previous week, how many days did you participate in the following: Please use this response scale - Checked my weight","In the previous week, how many days did you participate in the following: Please use this response scale - Planned meals","In the previous week, how many days did you participate in the following: Please use this response scale - “Binged” (felt a loss of control while eating a large amount of food)","In the previous week, how many days did you participate in the following: Please use this response scale - “Purged” (tried to get rid of recently eaten food via throwing up or using laxatives)","In the previous week, how many days did you participate in the following: Please use this response scale - Spent 2+ hours watching T.V. or playing video/computer games","In the previous week, how many days did you participate in the following: Please use this response scale - Felt significant guilt or shame about eating","In the previous week, how many days did you participate in the following: Please use this response scale - Consumed drinks with calories","In the previous week, how many days did you participate in the following: Please use this response scale - Ate fast food","In the previous week, how many days did you participate in the following: Please use this response scale - Ate as a response to boredom or stress","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Read food labels","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Tracked calories","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Kept a calorie goal","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Got adequate sleep","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Did moderate exercise for at least 30 minutes","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Took at least 10,000 steps","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Found small opportunities to be physically active (e.g. took the stairs)","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Modified meals in a healthy way (e.g. took smaller portion sizes)","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Drank 4+ cups of water","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Checked my weight","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Planned meals","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - “Binged” (felt a loss of control while eating a large amount of food)","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - “Purged” (tried to get rid of recently eaten food via throwing up or using laxatives)","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Spent 2+ hours watching T.V. or playing video/computer games","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Felt significant guilt or shame about eating","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Consumed drinks with calories","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Ate fast food","In these next series of questions, we would like to ask you to estimate how your spouse/partner would report having participated in the following (does not have to be perfectly accurate, just your best estimation) Please use this response scale - Ate as a response to boredom or stress","On a scale from 0-100 (0=not at all comfortable; 100=extremely comfortable), how comfortable are you with your physical appearance? - Comfort with body shape","On a scale from 0-100 (0=not at all comfortable; 100=extremely comfortable), how comfortable are you with your physical appearance? - Comfort with body size","On a scale from 0-100 (0=not at all comfortable; 100=extremely comfortable), how comfortable are you with your physical appearance? - Comfort with Overall appearance","On a scale from 0-100 (0=no motivation; 100=very high motivation), please rate your current motivation level to engage in: - Increased physical activity","On a scale from 0-100 (0=no motivation; 100=very high motivation), please rate your current motivation level to engage in: - Modification of your diet","On a scale from 0-100 (0=no motivation; 100=very high motivation), please rate your current motivation level to engage in: - Other behaviors (e.g. calorie tracking)","On a scale from 0-100 (0=no motivation; 100=very high motivation), please estimate how your spouse/partner would rate their current motivation level to engage in: - Increased physical activity","On a scale from 0-100 (0=no motivation; 100=very high motivation), please estimate how your spouse/partner would rate their current motivation level to engage in: - Modification of your diet","On a scale from 0-100 (0=no motivation; 100=very high motivation), please estimate how your spouse/partner would rate their current motivation level to engage in: - Other behaviors (e.g. calorie tracking)",How would you rate your self-esteem (1 star=lowest self-esteem rating 5 stars=highest self-esteem rating)? - I rate my current self-esteem as:,If you were to estimate how your spouse/partner would rate their self-esteem what would it be (1 star=lowest self-esteem rating 5 stars=highest self-esteem rating)? - I rate my spouse/partner's current self-esteem as:,Have you ever undergone bariatric surgery? - Selected Choice,"Have you ever undergone bariatric surgery? - Yes, Other--please describe - Text",Has your spouse/partner ever undergone bariatric surgery? - Selected Choice,"Has your spouse/partner ever undergone bariatric surgery? - Yes, Other--please describe - Text"
"{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_2_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_2_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_7""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID22_9""}","{""ImportId"":""QID22_10""}","{""ImportId"":""QID22_11""}","{""ImportId"":""QID22_12""}","{""ImportId"":""QID22_13""}","{""ImportId"":""QID22_14""}","{""ImportId"":""QID22_15""}","{""ImportId"":""QID22_16""}","{""ImportId"":""QID22_17""}","{""ImportId"":""QID22_18""}","{""ImportId"":""QID22_19""}","{""ImportId"":""QID22_20""}","{""ImportId"":""QID22_21""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_7""}","{""ImportId"":""QID23_8""}","{""ImportId"":""QID23_9""}","{""ImportId"":""QID23_10""}","{""ImportId"":""QID23_11""}","{""ImportId"":""QID23_12""}","{""ImportId"":""QID23_13""}","{""ImportId"":""QID23_14""}","{""ImportId"":""QID23_15""}","{""ImportId"":""QID23_16""}","{""ImportId"":""QID23_17""}","{""ImportId"":""QID23_18""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_8""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID24_10""}","{""ImportId"":""QID24_11""}","{""ImportId"":""QID24_12""}","{""ImportId"":""QID24_13""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID24_15""}","{""ImportId"":""QID24_16""}","{""ImportId"":""QID24_17""}","{""ImportId"":""QID24_18""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_7_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_7_TEXT""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male   ,Some College   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Does not Apply to Me,"Yes, please indicate how many children you have",2,Keeping my weight about the same   ,195,I'm fairly confident about my estimate   ,Over a month ago   ,69,,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",200,160,"Yes, If Yes add box please briefly describe what is working for you",Working out daily with a balanced diet.,Never,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,1,0,0,5,3,5,7,1,6,0,0,0,0,3,2,0,2,0,6,0,0,3,2,5,1,0,0,0,6,2,0,1,3,2,2,3,100,65,80,100,60,70,100,100,90,4,2,No  ,,No  ,
20,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,No,,Keeping my weight about the same   ,128,I'm very confident about my estimate  ,This week   ,65,,,130,120,"Yes, If Yes add box please briefly describe what is working for you",Eating well and exercising each day,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Rarely,5,0,3,6,6,6,7,7,7,2,7,0,0,2,0,3,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,91,87,91,97,82,6,88,88,89,4,4,No  ,,No  ,
23,Male   ,2-year College Degree   ,Prefer not to answer ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Gaining weight ,205,I'm fairly confident about my estimate   ,Over a month ago   ,6'2,Significant relationship change ,Using diuretics,230,155,"Yes, If Yes add box please briefly describe what is working for you",Working out,Often,Often,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Often,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Rarely,7,3,0,3,4,7,6,6,5,0,0,2,0,2,3,5,0,0,0,7,0,3,4,7,7,7,7,0,3,0,0,2,4,0,1,0,42,44,60,72,53,,100,100,100,4,2,No  ,,No  ,
1,Male   ,Doctoral Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Yes, please indicate how many children you have",6,Losing weight   ,211,I'm fairly confident about my estimate   ,Today   ,72,Significant medical experience impeding mobility   ,,250,138,"Yes, If Yes add box please briefly describe what is working for you",Dr Whit Roberts program in Lehi,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,77,77,75,76,76,78,5,5,No  ,,No  ,
23,Male   ,Some College   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,160,I'm very confident about my estimate  ,This week   ,70,Significant relationship change ,,162,140,No  ,,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Female   ,4-year College Degree   ,White/Caucasian   ,Yes   ,Overweight,Never Married  ,,,,,,,,,,,,No,,Gaining weight ,183,I'm fairly confident about my estimate   ,Over a week ago   ,64,,,203,161,"Yes, If Yes add box please briefly describe what is working for you",Strength training,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,4,0,0,2,0,5,2,0,0,0,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,81,82,81,38,41,41,,,,4,3,No  ,,No  ,
23,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat agree,Agree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,110,I'm very confident about my estimate  ,This week   ,62,"Pregnancy   ,Started a medication with weight gain as a side effect   ",,140,95,No  ,,Often,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,0,0,0,7,0,0,7,5,7,6,2,0,0,7,0,7,2,3,2,2,3,4,7,7,7,3,2,7,3,0,0,7,4,4,2,2,92,93,81,52,46,23,100,100,50,4,2,No  ,,No  ,
